Date	Firm	To Grade	From Grade	Action
2019-01-08 15:17:58	Morgan Stanley	Overweight	Overweight	main
2019-01-15 11:34:59	BMO Capital	Outperform	Market Perform	up
2019-01-16 14:23:22	Standpoint Research	Hold	Buy	down
2019-02-22 11:36:54	Jefferies	Buy	Hold	up
2019-03-26 12:42:54	Oppenheimer	Outperform	Outperform	main
2019-04-16 12:35:49	UBS	Buy	Buy	main
2019-04-16 13:14:55	BMO Capital	Outperform	Outperform	main
2019-04-16 13:43:22	Morgan Stanley	Overweight	Overweight	main
2019-05-30 10:29:20	Goldman Sachs	Buy	Neutral	up
2019-07-09 11:37:00	JP Morgan	Overweight		main
2019-07-26 10:38:17	Keefe Bruyette & Woods	Outperform	Market Perform	up
2019-10-03 13:18:29	UBS	Buy		main
2019-10-10 14:08:16	JP Morgan	Overweight		main
2019-11-04 13:10:35	JP Morgan	Overweight		main
2019-11-07 12:43:20	Bank of America	Buy		reit
2019-11-18 13:20:20	Morgan Stanley	Overweight		main
2019-11-26 13:21:20	Credit Suisse	Outperform		main
2020-01-06 11:26:43	Goldman Sachs	Buy		main
2020-01-06 12:39:30	Deutsche Bank	Hold	Buy	down
2020-01-15 13:01:34	Morgan Stanley	Overweight		main
2020-01-15 13:14:16	B of A Securities	Buy		reit
2020-01-15 13:21:56	Wells Fargo	Overweight		main
2020-01-15 13:29:36	DA Davidson	Buy		main
2020-01-15 14:15:51	BMO Capital	Outperform		main
2020-01-15 14:17:16	Oppenheimer	Outperform		main
2020-01-17 15:04:09	Credit Suisse	Outperform		main
2020-02-03 14:46:52	Odeon Capital	Hold	Buy	down
2020-03-02 16:06:59	Morgan Stanley	Overweight		main
2020-03-02 21:54:20	CFRA	Buy	Hold	up
2020-03-09 13:34:05	Morgan Stanley	Overweight		main
2020-03-27 18:58:17	Piper Sandler	Overweight		main
2020-03-27 19:08:05	Morgan Stanley	Overweight		main
2020-04-01 13:09:56	Oppenheimer	Outperform		main
2020-04-02 08:29:13	Wells Fargo	Overweight		main
2020-04-02 13:59:37	Deutsche Bank	Hold		main
2020-04-03 18:06:02	Piper Sandler	Overweight		main
2020-04-06 15:58:19	UBS	Buy		main
2020-04-06 16:11:15	Wells Fargo	Overweight		main
2020-04-16 12:16:48	Oppenheimer	Outperform		main
2020-04-16 12:18:05	Morgan Stanley	Overweight		main
2020-04-16 15:27:56	BMO Capital	Outperform		main
2020-04-20 12:35:14	Argus Research	Buy	Hold	up
2020-05-04 14:05:32	UBS	Buy		main
2020-06-25 12:53:17	Morgan Stanley	Overweight		main
2020-09-15 11:38:00	Morgan Stanley	Overweight		main
2020-09-15 16:04:05	Wells Fargo	Overweight		main
