Date	Open	High	Low	Close	Adj Close	Volume
2020-08-05	204.35000610351562	204.58949279785156	203.24000549316406	203.3000030517578	203.3000030517578	168440
2020-08-05	203.27000427246094	203.94000244140625	203.19000244140625	203.81500244140625	203.81500244140625	163682
2020-08-05	203.8000030517578	204.47360229492188	203.47999572753906	204.46499633789062	204.46499633789062	164345
2020-08-05	204.47000122070312	204.6300048828125	204.18629455566406	204.3800048828125	204.3800048828125	193468
2020-08-05	204.41000366210938	204.8000030517578	204.19000244140625	204.47999572753906	204.47999572753906	432385
2020-08-05	204.53	204.53	203.95	203.95	203.95	0
2020-08-05	204.01	204.52	204.01	204.52	204.52	0
2020-08-05	204.52	204.52	204.52	204.52	204.52	0
2020-08-06	204.0	204.0	204.0	204.0	204.0	0
2020-08-06	204.0	204.0	204.0	204.0	204.0	0
2020-08-06	203.5	203.5	203.5	203.5	203.5	0
2020-08-06	204.0	204.2	203.5	203.5	203.5	0
2020-08-06	203.98	205.5	203.98	204.71	204.71	0
2020-08-06	205.0	206.2899932861328	204.30999755859375	205.97000122070312	205.97000122070312	438499
2020-08-06	206.05999755859375	206.1750030517578	204.75999450683594	205.41000366210938	205.41000366210938	267352
2020-08-06	205.47000122070312	205.47000122070312	204.5	204.61000061035156	204.61000061035156	159761
2020-08-06	204.61000061035156	204.77639770507812	204.09500122070312	204.25999450683594	204.25999450683594	144129
2020-08-06	204.2100067138672	204.6999969482422	203.8300018310547	204.4250030517578	204.4250030517578	182420
2020-08-06	204.4250030517578	204.63999938964844	203.89999389648438	204.22000122070312	204.22000122070312	214838
2020-08-06	204.25	204.6199951171875	203.9600067138672	204.25	204.25	248776
2020-08-06	204.25	204.25	204.0	204.25	204.25	0
2020-08-06	204.35	204.35	204.35	204.35	204.35	0
2020-08-06	204.44	204.44	204.0	204.0	204.0	0
2020-08-06	204.25	204.25	204.25	204.25	204.25	0
2020-08-07	203.0	203.26	203.0	203.0	203.0	0
2020-08-07	203.21	203.26	202.35	202.35	202.35	0
2020-08-07	202.35	205.0	202.35	203.0001	203.0001	0
2020-08-07	203.47999572753906	204.1699981689453	202.4499969482422	203.27499389648438	203.27499389648438	355540
