Date	Firm	To Grade	From Grade	Action
2019-07-11 12:58:34	Morgan Stanley	Overweight		main
2019-07-19 11:57:23	Barclays	Overweight		main
2019-07-19 12:13:02	Keefe Bruyette & Woods	Outperform		main
2019-07-19 12:16:14	JMP Securities	Market Outperform		main
2019-07-24 12:08:22	Morgan Stanley	Overweight		main
2019-08-09 10:53:16	Deutsche Bank	Hold	Buy	down
2019-08-21 12:38:23	Deutsche Bank	Hold		main
2019-09-09 10:31:29	Keefe, Bruyette & Woods	Market Perform	Outperform	down
2019-10-01 12:12:50	Credit Suisse	Outperform		main
2019-10-02 10:45:14	Barclays	Underweight	Overweight	down
2019-10-03 10:22:21	Wells Fargo	Market Perform	Outperform	down
2019-10-07 10:40:17	UBS	Buy	Neutral	up
2019-10-14 12:33:39	Morgan Stanley	Overweight		main
2019-10-18 11:59:19	UBS	Buy		main
2019-10-18 12:26:54	Wells Fargo	Market Perform		main
2019-10-18 13:13:50	Barclays	Underweight		main
2019-10-21 12:32:13	Morgan Stanley	Overweight		main
2019-10-23 16:12:01	Deutsche Bank	Hold		main
2019-11-18 13:21:13	Morgan Stanley	Overweight		main
2019-11-27 15:11:17	Barclays	Underweight		main
2019-12-03 13:29:21	Credit Suisse	Outperform		main
2019-12-19 13:50:27	Deutsche Bank	Hold		main
2020-01-09 14:44:23	Wells Fargo	Equal-Weight		main
2020-01-13 13:27:24	Barclays	Underweight		main
2020-01-13 14:19:57	JMP Securities	Market Outperform		main
2020-01-24 14:23:31	Credit Suisse	Outperform		main
2020-01-24 14:49:58	Deutsche Bank	Hold		main
2020-01-28 12:54:03	Morgan Stanley	Overweight		main
2020-02-21 11:43:34	JMP Securities	Market Perform	Market Outperform	down
2020-02-24 10:16:14	Jefferies	Hold	Buy	down
2020-02-24 15:16:01	Goldman Sachs	Neutral	Buy	down
2020-02-25 10:04:21	Credit Suisse	Neutral	Outperform	down
2020-02-25 12:28:46	Compass Point	Neutral	Buy	down
2020-02-26 10:12:24	Raymond James	Market Perform	Outperform	down
2020-03-18 12:52:27	Deutsche Bank	Hold		main
2020-03-31 13:56:05	Deutsche Bank	Hold		main
2020-04-06 16:12:01	Wells Fargo	Equal-Weight		main
2020-04-09 13:39:15	Deutsche Bank	Hold		main
2020-04-16 12:37:11	Credit Suisse	Neutral		main
2020-04-24 15:56:03	UBS	Neutral		main
2020-04-24 16:19:49	Piper Sandler	Neutral		main
2020-07-02 12:05:53	Compass Point	Neutral		main
2020-07-09 12:42:06	Deutsche Bank	Hold		main
2020-07-10 13:40:18	Wells Fargo	Equal-Weight		main
2020-07-24 13:51:36	Piper Sandler	Neutral		main
